round,w_dormant,norm_cached_g,cos_cached_vs_honest_mean,in_S_t,decay_factor_this_round
0,0.011494,0.000000,+0.000000,1,0.995000
1,0.002924,0.000000,+0.000000,1,0.995000
2,0.010638,0.000000,+0.000000,1,0.995000
3,0.007311,0.000000,+0.000000,1,0.995000
4,0.009898,0.000000,+0.000000,1,0.995000
5,0.009804,0.000000,+0.000000,1,0.995000
6,0.010466,0.000000,+0.000000,1,0.995000
7,0.009947,0.000000,+0.000000,1,0.995000
8,0.010096,0.000000,+0.000000,1,0.995000
9,0.011267,0.000000,+0.000000,1,0.995000
10,0.012517,0.000000,+0.000000,1,0.995000
11,0.011469,0.000000,+0.000000,1,0.995000
12,0.012821,0.000000,+0.000000,1,0.995000
13,0.011105,0.000000,+0.000000,1,0.995000
14,0.010000,0.000000,+0.000000,1,0.995000
15,0.010870,0.000000,+0.000000,1,0.995000
16,0.012500,0.000000,+0.000000,1,0.995000
17,0.010753,0.000000,+0.000000,1,0.995000
18,0.009901,0.000000,+0.000000,1,0.995000
19,0.009223,0.000000,+0.000000,1,0.995000
20,0.000000,0.000000,+0.000000,0,0.995000
21,0.000000,0.000000,+0.000000,0,0.995000
22,0.000000,0.000000,+0.000000,0,0.995000
23,0.000000,0.000000,+0.000000,0,0.995000
24,0.000000,0.000000,+0.000000,0,0.995000
25,0.000000,0.000000,+0.000000,0,0.995000
26,0.000000,0.000000,+0.000000,0,0.995000
27,0.000000,0.000000,+0.000000,0,0.995000
28,0.000000,0.000000,+0.000000,0,0.995000
29,0.000000,0.000000,+0.000000,0,0.995000
30,0.000000,0.000000,+0.000000,0,0.995000
31,0.000000,0.000000,+0.000000,0,0.995000
32,0.000000,0.000000,+0.000000,0,0.995000
33,0.000000,0.000000,+0.000000,0,0.995000
34,0.000000,0.000000,+0.000000,0,0.995000
35,0.000000,0.000000,+0.000000,0,0.995000
36,0.000000,0.000000,+0.000000,0,0.995000
37,0.000000,0.000000,+0.000000,0,0.995000
38,0.000000,0.000000,+0.000000,0,0.995000
39,0.000000,0.000000,+0.000000,0,0.995000
40,0.000000,0.000000,+0.000000,0,0.995000
41,0.000000,0.000000,+0.000000,0,0.995000
42,0.000000,0.000000,+0.000000,0,0.995000
43,0.000000,0.000000,+0.000000,0,0.995000
44,0.000000,0.000000,+0.000000,0,0.995000
45,0.000000,0.000000,+0.000000,0,0.995000
46,0.000000,0.000000,+0.000000,0,0.995000
47,0.000000,0.000000,+0.000000,0,0.995000
48,0.000000,0.000000,+0.000000,0,0.995000
49,0.000000,0.000000,+0.000000,0,0.995000
50,0.000000,0.000000,+0.000000,0,0.995000
51,0.000000,0.000000,+0.000000,0,0.995000
52,0.000000,0.000000,+0.000000,0,0.995000
53,0.000000,0.000000,+0.000000,0,0.995000
54,0.000000,0.000000,+0.000000,0,0.995000
55,0.000000,0.000000,+0.000000,0,0.995000
56,0.000000,0.000000,+0.000000,0,0.995000
57,0.000000,0.000000,+0.000000,0,0.995000
58,0.000000,0.000000,+0.000000,0,0.995000
59,0.000000,0.000000,+0.000000,0,0.995000
60,0.000000,0.000000,+0.000000,0,0.995000
61,0.000000,0.000000,+0.000000,0,0.995000
62,0.000000,0.000000,+0.000000,0,0.995000
63,0.000000,0.000000,+0.000000,0,0.995000
64,0.000000,0.000000,+0.000000,0,0.995000
65,0.000000,0.000000,+0.000000,0,0.995000
66,0.000000,0.000000,+0.000000,0,0.995000
67,0.000000,0.000000,+0.000000,0,0.995000
68,0.000000,0.000000,+0.000000,0,0.995000
69,0.000000,0.000000,+0.000000,0,0.995000
70,0.000000,0.000000,+0.000000,0,0.995000
71,0.000000,0.000000,+0.000000,0,0.995000
72,0.000000,0.000000,+0.000000,0,0.995000
73,0.000000,0.000000,+0.000000,0,0.995000
74,0.000000,0.000000,+0.000000,0,0.995000
75,0.000000,0.000000,+0.000000,0,0.995000
76,0.000000,0.000000,+0.000000,0,0.995000
77,0.000000,0.000000,+0.000000,0,0.995000
78,0.000000,0.000000,+0.000000,0,0.995000
79,0.000000,0.000000,+0.000000,0,0.995000
80,0.000000,0.000000,+0.000000,0,0.995000
81,0.000000,0.000000,+0.000000,0,0.995000
82,0.000000,0.000000,+0.000000,0,0.995000
83,0.000000,0.000000,+0.000000,0,0.995000
84,0.000000,0.000000,+0.000000,0,0.995000
85,0.000000,0.000000,+0.000000,0,0.995000
86,0.000000,0.000000,+0.000000,0,0.995000
87,0.000000,0.000000,+0.000000,0,0.995000
88,0.000000,0.000000,+0.000000,0,0.995000
89,0.000000,0.000000,+0.000000,0,0.995000
90,0.000000,0.000000,+0.000000,0,0.995000
91,0.000000,0.000000,+0.000000,0,0.995000
92,0.000000,0.000000,+0.000000,0,0.995000
93,0.000000,0.000000,+0.000000,0,0.995000
94,0.000000,0.000000,+0.000000,0,0.995000
95,0.000000,0.000000,+0.000000,0,0.995000
96,0.000000,0.000000,+0.000000,0,0.995000
97,0.000000,0.000000,+0.000000,0,0.995000
98,0.000000,0.000000,+0.000000,0,0.995000
99,0.000000,0.000000,+0.000000,0,0.995000
100,0.000000,0.000000,+0.000000,0,0.995000
101,0.000000,0.000000,+0.000000,0,0.995000
102,0.000000,0.000000,+0.000000,0,0.995000
103,0.000000,0.000000,+0.000000,0,0.995000
104,0.000000,0.000000,+0.000000,0,0.995000
105,0.000000,0.000000,+0.000000,0,0.995000
106,0.000000,0.000000,+0.000000,0,0.995000
107,0.000000,0.000000,+0.000000,0,0.995000
108,0.000000,0.000000,+0.000000,0,0.995000
109,0.000000,0.000000,+0.000000,0,0.995000
110,0.000000,0.000000,+0.000000,0,0.995000
111,0.000000,0.000000,+0.000000,0,0.995000
112,0.000000,0.000000,+0.000000,0,0.995000
113,0.000000,0.000000,+0.000000,0,0.995000
114,0.000000,0.000000,+0.000000,0,0.995000
115,0.000000,0.000000,+0.000000,0,0.995000
116,0.000000,0.000000,+0.000000,0,0.995000
117,0.000000,0.000000,+0.000000,0,0.995000
118,0.000000,0.000000,+0.000000,0,0.995000
119,0.000000,0.000000,+0.000000,0,0.995000
120,0.000000,0.000000,+0.000000,0,0.995000
121,0.000000,0.000000,+0.000000,0,0.995000
122,0.000000,0.000000,+0.000000,0,0.995000
123,0.000000,0.000000,+0.000000,0,0.995000
124,0.000000,0.000000,+0.000000,0,0.995000
125,0.000000,0.000000,+0.000000,0,0.995000
126,0.000000,0.000000,+0.000000,0,0.995000
127,0.000000,0.000000,+0.000000,0,0.995000
128,0.000000,0.000000,+0.000000,0,0.995000
129,0.000000,0.000000,+0.000000,0,0.995000
130,0.000000,0.000000,+0.000000,0,0.995000
131,0.000000,0.000000,+0.000000,0,0.995000
132,0.000000,0.000000,+0.000000,0,0.995000
133,0.000000,0.000000,+0.000000,0,0.995000
134,0.000000,0.000000,+0.000000,0,0.995000
135,0.000000,0.000000,+0.000000,0,0.995000
136,0.000000,0.000000,+0.000000,0,0.995000
137,0.000000,0.000000,+0.000000,0,0.995000
138,0.000000,0.000000,+0.000000,0,0.995000
139,0.000000,0.000000,+0.000000,0,0.995000
140,0.000000,0.000000,+0.000000,0,0.995000
141,0.000000,0.000000,+0.000000,0,0.995000
142,0.000000,0.000000,+0.000000,0,0.995000
143,0.000000,0.000000,+0.000000,0,0.995000
144,0.000000,0.000000,+0.000000,0,0.995000
145,0.000000,0.000000,+0.000000,0,0.995000
146,0.000000,0.000000,+0.000000,0,0.995000
147,0.000000,0.000000,+0.000000,0,0.995000
148,0.000000,0.000000,+0.000000,0,0.995000
149,0.000000,0.000000,+0.000000,0,0.995000
150,0.000000,0.000000,+0.000000,0,0.995000
151,0.000000,0.000000,+0.000000,0,0.995000
152,0.000000,0.000000,+0.000000,0,0.995000
153,0.000000,0.000000,+0.000000,0,0.995000
154,0.000000,0.000000,+0.000000,0,0.995000
155,0.000000,0.000000,+0.000000,0,0.995000
156,0.000000,0.000000,+0.000000,0,0.995000
157,0.000000,0.000000,+0.000000,0,0.995000
158,0.000000,0.000000,+0.000000,0,0.995000
159,0.000000,0.000000,+0.000000,0,0.995000
160,0.000000,0.000000,+0.000000,0,0.995000
161,0.000000,0.000000,+0.000000,0,0.995000
162,0.000000,0.000000,+0.000000,0,0.995000
163,0.000000,0.000000,+0.000000,0,0.995000
164,0.000000,0.000000,+0.000000,0,0.995000
165,0.000000,0.000000,+0.000000,0,0.995000
166,0.000000,0.000000,+0.000000,0,0.995000
167,0.000000,0.000000,+0.000000,0,0.995000
168,0.000000,0.000000,+0.000000,0,0.995000
169,0.000000,0.000000,+0.000000,0,0.995000
170,0.000000,0.000000,+0.000000,0,0.995000
171,0.000000,0.000000,+0.000000,0,0.995000
172,0.000000,0.000000,+0.000000,0,0.995000
173,0.000000,0.000000,+0.000000,0,0.995000
174,0.000000,0.000000,+0.000000,0,0.995000
175,0.000000,0.000000,+0.000000,0,0.995000
176,0.000000,0.000000,+0.000000,0,0.995000
177,0.000000,0.000000,+0.000000,0,0.995000
178,0.000000,0.000000,+0.000000,0,0.995000
179,0.000000,0.000000,+0.000000,0,0.995000
180,0.000000,0.000000,+0.000000,0,0.995000
181,0.000000,0.000000,+0.000000,0,0.995000
182,0.000000,0.000000,+0.000000,0,0.995000
183,0.000000,0.000000,+0.000000,0,0.995000
184,0.000000,0.000000,+0.000000,0,0.995000
185,0.000000,0.000000,+0.000000,0,0.995000
186,0.000000,0.000000,+0.000000,0,0.995000
187,0.000000,0.000000,+0.000000,0,0.995000
188,0.000000,0.000000,+0.000000,0,0.995000
189,0.000000,0.000000,+0.000000,0,0.995000
190,0.000000,0.000000,+0.000000,0,0.995000
191,0.000000,0.000000,+0.000000,0,0.995000
192,0.000000,0.000000,+0.000000,0,0.995000
193,0.000000,0.000000,+0.000000,0,0.995000
194,0.000000,0.000000,+0.000000,0,0.995000
195,0.000000,0.000000,+0.000000,0,0.995000
196,0.000000,0.000000,+0.000000,0,0.995000
197,0.000000,0.000000,+0.000000,0,0.995000
198,0.000000,0.000000,+0.000000,0,0.995000
199,0.000000,0.000000,+0.000000,0,0.995000
